#############################################;;;;;;;;;;;;;;x
#State Localisations - Africa;;;;;;;;;;;;;;x
#############################################;;;;;;;;;;;;;;x
MOR_1683;Gaetulia;;;;;;;;;;;;;x;;
MOR_1686;Tingitana Inferior;;;;;;;;;;;;;x;;
MOR_1688;Tingitana Superior;;;;;;;;;;;;;x;;
MOR_1693;Mauria;;;;;;;;;;;;;x;;
ALD_1700;Sitifensis;;;;;;;;;;;;;x;;
ALD_1705;Caesariensis;;;;;;;;;;;;;x;;
ALD_1708;Numidia;;;;;;;;;;;;;x;;
TUN_1726;Africa;;;;;;;;;;;;;x;;
ITA_1848;Eritrea;;;;;;;;;;;;;x;;
ETH_1864;Galla;;;;;;;;;;;;;x;;
ETH_1859;Shoa;;;;;;;;;;;;;x;;
ETH_1852;Gonder-Tigray;;;;;;;;;;;;;x;;
ETH_1855;Amhara;;;;;;;;;;;;;x;;
FRA_1875;Jibuti;;;;;;;;;;;;;x;;
ENG_1873;Adal;;;;;;;;;;;;;x;;
ITA_1868;Jubaland;;;;;;;;;;;;;x;;
ITA_1872;Somaliland;;;;;;;;;;;;;x;;
ENG_1846;Equatoria;;;;;;;;;;;;;x;;
GER_2029;North Swahili Coast;;;;;;;;;;;;;x;;
ENG_2048;Zanzibar;;;;;;;;;;;;;x;;
GER_2039;South Swahili Coast;;;;;;;;;;;;;x;;
GER_2034;Ruanda-Burundi;;;;;;;;;;;;;x;;
GER_2044;Usambara;;;;;;;;;;;;;x;;
GER_2043;Tanganyika;;;;;;;;;;;;;x;;
GER_2041;South Tanganyika;;;;;;;;;;;;;x;;
ENG_2067;Nyasaland;;;;;;;;;;;;;x;;
ENG_2012;Barotseland;;;;;;;;;;;;;x;;
POR_2064;Mocambique-Niassa;;;;;;;;;;;;;x;;
POR_2059;Zambezia-Sofala;;;;;;;;;;;;;x;;
POR_2054;Tete;;;;;;;;;;;;;x;;
POR_2049;Lourenço Marques;;;;;;;;;;;;;x;;
FRA_2123;Comoros-Mayotte;;;;;;;;;;;;;x;;
GER_2078;Hereroland;;;;;;;;;;;;;x;;
SAF_2083;Walvis Bay;;;;;;;;;;;;;x;;
GER_2084;Namaqualand;;;;;;;;;;;;;x;;
POR_2000;Cabinda;;;;;;;;;;;;;x;;
SPA_1955;Guinea Ecuatorial;;;;;;;;;;;;;x;;
GER_1956;Coastal Cameroons;;;;;;;;;;;;;x;;
GER_1958;South Cameroons;;;;;;;;;;;;;x;;
GER_1960;North Cameroons;;;;;;;;;;;;;x;;
